,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,QUALITY,type,rangeofquality
0,2.98,4.13,0.0,2.0,1.11,0.35,0.65,2.06,6.12,1.91,2.03,5,0,Poor
1,3.31,5.33,0.0,3.1,1.48,0.83,1.41,1.87,3.72,2.58,2.61,5,0,Poor
2,3.31,4.53,0.24,2.6,1.38,0.49,1.11,1.91,4.19,2.42,2.61,5,0,Poor
3,6.12,1.33,3.37,2.0,1.1,0.56,1.24,2.1,3.41,2.02,2.61,6,0,Average
4,2.98,3.87,0.0,1.7999999999999998,1.1,0.42,0.78,2.06,6.12,1.91,2.03,5,0,Poor
5,3.39,3.47,0.36,1.5,1.0,0.49,1.22,1.79,4.5,1.35,2.03,5,0,Poor
6,2.89,3.8,0.0,0.8999999999999999,0.93,0.49,0.35,1.44,5.19,1.4,2.9,7,0,Average
7,3.31,3.33,0.12,2.1,1.06,0.28,0.28,1.87,4.96,1.97,2.17,7,0,Average
8,3.06,2.8,2.17,8.4,1.03,0.56,2.21,2.06,4.88,3.26,3.62,5,0,Poor
9,3.06,2.8,2.17,8.4,1.03,0.56,2.21,2.06,4.88,3.26,3.62,5,0,Poor
10,3.31,3.53,1.75,1.5,1.74,0.28,0.53,1.98,4.19,7.53,1.59,5,0,Poor
11,4.21,3.6,1.14,5.1,2.67,1.74,3.27,2.22,3.49,3.99,1.74,5,0,Poor
12,3.55,3.2,1.69,1.7000000000000002,5.96,0.52,1.15,1.87,3.02,5.96,1.88,5,0,Poor
13,2.98,3.4,0.48,5.8,1.28,0.17,0.53,1.98,5.12,1.57,1.45,4,0,Poor
14,4.21,0.93,2.89,1.7999999999999998,1.13,0.97,1.24,1.87,5.19,1.74,2.03,6,0,Average
15,3.14,2.07,1.87,2.6,1.21,0.76,1.5,2.14,6.2,2.42,2.46,5,0,Poor
16,3.39,2.33,1.27,1.5,1.61,0.31,0.71,1.83,3.49,3.88,2.17,5,0,Poor
17,3.88,2.73,0.66,2.6,1.25,0.28,1.41,1.87,3.49,1.74,2.03,5,0,Poor
18,2.56,2.13,0.84,2.8000000000000003,1.26,0.69,0.78,1.87,5.5,2.3,2.46,6,0,Average
19,2.07,2.07,0.96,1.2,1.18,0.35,0.39,1.62,4.81,1.91,1.88,5,0,Poor
20,3.14,2.2,1.45,1.7999999999999998,1.18,0.1,0.12,1.75,4.34,2.08,2.17,5,0,Poor
21,3.39,2.33,1.27,1.5,1.61,0.31,0.71,1.83,3.49,3.88,2.17,5,0,Poor
22,2.73,4.2,0.0,2.0,1.18,0.45,0.67,1.95,5.81,1.85,2.03,5,0,Poor
23,3.31,3.77,0.0,2.1,1.21,0.24,0.23,1.79,5.12,2.08,2.61,6,0,Average
24,2.4,3.97,0.42,2.8000000000000003,1.33,0.56,1.75,1.68,4.88,1.8,3.04,5,0,Poor
25,2.56,4.03,0.0,2.9,1.59,0.73,0.71,1.83,5.74,1.97,3.77,6,0,Average
26,3.72,3.83,0.72,2.6,1.23,0.49,2.47,1.83,3.49,2.47,2.61,5,0,Poor
27,2.56,3.5,0.72,15.5,1.06,1.35,1.77,2.35,5.66,1.69,2.03,6,0,Average
28,1.16,1.6,1.51,1.7999999999999998,1.56,0.42,1.01,1.66,5.12,1.85,1.74,5,0,Poor
29,3.31,3.77,0.0,7.5,1.28,0.14,0.28,2.22,5.27,1.85,2.32,6,0,Average
30,3.31,3.47,0.84,2.8000000000000003,1.28,0.07,0.21,2.0,5.43,2.13,4.06,6,0,Average
31,3.55,2.0,1.69,2.3000000000000003,0.95,0.42,0.55,1.87,3.95,2.87,2.46,7,0,Average
32,1.57,7.0,0.54,1.4000000000000001,2.71,0.21,0.3,1.33,6.05,1.46,2.61,4,0,Poor
33,2.89,2.47,2.17,8.100000000000001,1.08,0.38,1.87,2.06,4.73,3.43,3.62,5,0,Poor
34,2.89,2.47,2.17,8.100000000000001,1.08,0.38,1.87,2.06,4.73,3.43,3.62,5,0,Poor
35,4.13,3.53,1.81,3.4000000000000004,1.31,0.56,0.92,2.02,4.19,1.63,1.88,4,0,Poor
36,3.06,2.73,1.2,3.1,5.37,0.24,0.18,1.87,3.8,3.82,3.62,6,0,Average
37,3.55,3.87,1.33,2.5,1.0,0.28,0.39,1.87,4.5,5.51,3.33,5,0,Poor
38,2.48,3.93,0.12,1.7999999999999998,0.68,0.14,0.12,1.75,5.89,1.69,2.17,5,0,Poor
39,0.66,2.93,0.9,2.3000000000000003,0.75,0.24,1.36,1.21,9.15,1.91,7.39,4,0,Poor
40,3.22,5.7,2.59,2.5,1.74,0.73,2.49,1.91,4.11,2.87,1.74,5,0,Poor
41,4.05,1.4,3.13,1.5,1.73,0.38,0.71,1.89,4.11,2.02,2.17,5,0,Poor
42,2.15,2.13,1.39,1.5,0.95,0.14,0.14,1.68,4.81,1.91,1.74,5,0,Poor
43,1.49,1.53,2.23,1.2,1.08,0.38,2.07,1.6,4.65,2.02,1.74,5,0,Poor
44,4.13,3.87,1.57,1.7000000000000002,1.08,0.1,0.39,1.93,3.33,2.92,1.74,5,0,Poor
45,2.31,2.93,0.24,2.5,1.0,0.24,0.21,1.64,5.27,2.3,2.03,6,0,Average
46,2.31,2.8,0.24,2.3000000000000003,0.98,0.17,0.18,1.62,5.19,2.36,2.03,6,0,Average
47,3.97,2.0,2.17,3.7,1.2,1.01,2.6,1.91,3.72,1.91,2.03,5,0,Poor
48,3.14,2.87,0.9,3.4000000000000004,1.68,1.11,1.54,1.62,3.49,2.3,3.19,6,0,Average
49,3.22,3.6,0.24,4.9,1.25,0.83,0.9,2.06,4.81,1.74,2.17,5,0,Poor
50,5.29,2.27,3.43,4.3,1.01,0.1,0.09,1.93,2.48,2.3,2.32,5,0,Poor
51,3.06,3.67,0.72,6.8999999999999995,1.69,1.7,2.4,2.16,4.19,3.09,2.03,5,0,Poor
52,3.31,3.4,1.08,2.6,1.11,0.56,1.11,2.0,5.5,2.08,2.9,5,0,Poor
53,2.89,2.07,1.87,2.8000000000000003,1.08,0.28,0.92,1.75,5.35,1.8,2.03,6,0,Average
54,4.13,2.13,2.41,2.5,1.16,0.62,1.06,2.1,5.58,2.36,1.74,5,0,Poor
55,3.22,4.07,2.95,1.7999999999999998,1.76,0.66,2.44,1.87,3.8,2.75,1.88,5,0,Poor
56,3.06,2.93,0.96,2.0,1.26,0.38,0.67,1.87,5.12,2.25,2.17,7,0,Average
57,2.64,4.37,0.3,2.1,1.2,0.42,1.11,1.83,5.19,1.97,2.61,5,0,Poor
58,2.81,4.3,0.3,6.2,1.28,0.1,0.12,1.75,5.35,0.96,4.2,5,0,Poor
59,2.81,4.3,0.3,6.2,1.28,0.1,0.12,1.75,5.35,0.96,4.2,5,0,Poor
60,3.06,2.93,0.66,1.4000000000000001,1.16,0.35,0.76,1.87,5.43,2.02,2.32,5,0,Poor
61,2.31,4.17,0.42,1.5,1.11,0.17,0.21,1.75,5.58,2.02,3.91,5,0,Poor
62,4.55,1.6,3.43,2.1,1.08,0.9,1.36,1.89,4.34,3.2,3.91,5,0,Poor
63,3.47,4.17,0.3,2.0,1.08,0.24,0.3,1.75,4.81,4.1,3.62,6,0,Average
64,3.22,3.67,0.48,2.0,1.11,0.49,0.48,1.85,4.65,1.8,2.17,6,0,Average
65,3.22,3.93,1.39,2.3000000000000003,1.31,0.56,2.07,1.75,4.65,1.46,2.17,5,0,Poor
66,3.22,4.07,1.33,2.0,1.25,0.59,2.03,1.73,4.57,1.46,2.17,5,0,Poor
67,3.72,3.97,1.57,2.3000000000000003,1.25,0.35,0.85,2.02,4.57,1.74,1.74,4,0,Poor
68,4.88,1.6,3.25,2.9,1.41,0.94,1.77,2.18,4.34,3.37,2.32,5,0,Poor
69,4.13,2.2,3.86,2.5,1.4,0.28,0.83,2.22,6.36,2.47,3.62,5,0,Poor
70,4.13,2.2,3.86,2.5,1.4,0.28,0.83,2.22,6.36,2.47,3.62,5,0,Poor
71,2.48,4.7,0.0,2.8000000000000003,1.58,0.45,0.55,1.83,6.2,1.85,3.91,6,0,Average
72,2.4,4.47,0.72,2.1,1.28,0.38,1.71,1.68,5.12,1.69,3.04,5,0,Poor
73,3.72,3.63,1.2,1.4000000000000001,1.18,0.9,2.6,1.95,3.41,5.06,1.59,4,0,Poor
74,1.98,2.47,1.2,1.5,1.0,0.07,0.21,1.68,5.35,1.91,1.74,5,0,Poor
75,3.31,2.33,4.22,2.0,7.56,0.73,1.41,1.98,3.18,5.96,2.03,5,0,Poor
76,2.98,2.8,2.83,2.1,1.28,0.69,1.54,1.91,4.96,1.97,1.59,5,0,Poor
77,2.89,3.93,1.57,1.7999999999999998,6.51,0.52,1.04,1.89,3.41,5.17,2.03,5,0,Poor
78,2.07,1.47,2.89,1.7999999999999998,1.0,0.59,1.27,1.69,5.58,3.15,3.33,6,0,Average
79,2.56,3.13,0.9,2.5,1.11,0.62,0.78,1.73,5.35,2.08,3.04,5,0,Poor
80,3.97,2.73,1.69,2.0,1.68,0.66,3.0,1.95,1.63,9.72,2.75,6,0,Average
81,3.22,2.73,1.57,2.0,0.88,0.28,0.58,1.83,5.19,2.36,2.32,5,0,Poor
82,4.55,2.07,2.65,2.3000000000000003,1.63,1.15,2.74,2.06,3.26,5.62,2.17,5,0,Poor
83,2.64,3.6,0.48,1.7999999999999998,1.11,0.24,0.41,2.06,5.89,1.74,1.45,5,0,Poor
84,3.39,2.93,1.57,2.0,1.16,1.42,3.09,1.79,3.95,1.8,2.17,5,0,Poor
85,3.97,2.73,1.69,2.0,1.68,0.66,3.0,1.95,1.63,9.72,2.75,6,0,Average
86,3.97,2.73,1.75,2.1,1.68,0.62,2.93,1.95,1.63,9.89,2.61,5,0,Poor
87,3.22,2.73,1.57,2.0,0.88,0.28,0.58,1.83,5.19,2.36,2.32,5,0,Poor
88,0.99,6.27,0.24,1.2,0.6,1.39,1.82,1.29,7.98,1.46,3.62,4,0,Poor
89,0.74,3.47,1.02,2.6,0.81,0.56,2.3,1.17,8.76,2.13,7.1,6,0,Average
90,2.48,4.63,0.0,3.7,1.54,0.24,0.39,1.81,5.66,1.91,3.91,5,0,Poor
91,2.64,2.8,1.51,2.1,1.01,0.07,0.37,1.77,4.11,2.3,1.74,5,0,Poor
92,3.14,5.47,0.36,2.9,1.16,0.14,0.09,1.85,5.19,1.91,2.61,5,0,Poor
93,3.55,3.1,1.08,2.0,1.18,0.42,0.67,1.95,4.5,2.08,1.45,6,0,Average
94,3.72,3.53,1.81,2.3000000000000003,1.25,0.35,1.01,1.95,5.27,2.19,3.19,6,0,Average
95,3.31,2.8,1.81,2.0,1.1,0.24,0.37,1.69,4.57,1.91,3.48,6,0,Average
96,3.55,3.1,1.08,2.0,1.18,0.42,0.67,1.95,4.5,2.08,1.45,6,0,Average
97,3.55,3.3,1.33,2.3000000000000003,1.13,0.38,1.36,1.85,4.42,1.63,1.74,5,0,Poor
98,2.81,2.73,1.45,2.5,1.01,0.14,0.69,1.71,4.73,1.46,2.03,5,0,Poor
99,3.55,3.3,1.33,2.3000000000000003,1.13,0.38,1.36,1.85,4.42,1.63,1.74,5,0,Poor
100,3.31,2.2,4.1,1.7000000000000002,7.61,0.59,1.45,1.96,2.79,6.12,1.88,5,0,Poor
101,1.98,3.67,1.87,1.7000000000000002,1.31,0.49,1.34,1.89,5.74,3.2,1.88,5,0,Poor
102,3.47,1.67,3.19,2.9,1.36,0.59,1.71,2.02,5.04,3.26,2.32,6,0,Average
103,3.55,4.7,3.13,2.1,1.88,1.25,3.39,1.89,3.8,2.64,1.88,5,0,Poor
104,3.31,3.2,1.14,1.7999999999999998,1.58,0.38,0.94,1.79,3.64,3.99,2.17,5,0,Poor
105,3.8,3.6,0.54,2.5,1.25,0.35,2.35,1.79,3.33,2.47,2.61,5,0,Poor
